Name	Tier	Activation	Ranked	Text	Source	From	Depreciated
Let’s Ride	1	Active (Incidental)	No	Once per round during your character's turn, your character can use this talent to mount or dismount from a vehicle or animal, or move from one position in a vehicle to another (such as from the cockpit to a gun turret) as an incidental. In addition, if your character suffers a short-range fall (see page 112) from a vehicle or animal, they suffer no damage and land on their feet.	GCRB	Let’s Ride	
Museum Worthy	1	Active (Action)	No	Once per session, take Museum Worthy action, make a Hard (◆◆◆) Knowledge check to ascertain information regarding a relic, ruin, or piece of history.	ETU	Museum Worthy	
One with Nature	1	Active (Incidental)	No	When in the wilderness, your character may make a Simple (–) Survival check, instead of Discipline or Cool, to recover strain at the end of an encounter (see page 117).	GCRB	One with Nature	
Painful Blow	1	Active (Incidental)	No	When your character makes a combat check, you may voluntarily increase the difficulty by one to use this talent. If the target suffers one or more wounds from the combat check, the target suffers 2 strain each time they perform a maneuver until the end of the encounter.	ROT	Painful Blow	
Parry	1	Active (Incidental, Out of Turn)	Yes	When your character suffers a hit from a melee combat check, after damage is calculated but before soak is applied (so immediately after Step 3 of Perform a Combat check, page 102), your character may suffer 3 strain to use this talent to reduce the damage of the hit by two plus their ranks in Parry. This talent can only be used once per hit, and your character needs to be wielding a Melee weapon.	GCRB	Parry	
Physician	1	Passive	Yes	When making a Medicine check to help a character heal wounds, the target heals 1 additional strain per rank of Physician.	FCRB	Physician	
Precision	1	Active (Incidental)	No	When making a Brawl or Ranged check, your character may use Cunning instead of Brawn and Agility.	ROT	Precision	
Proper Upbringing	1	Active (Incidental)	Yes	When your character makes a social skill check in polite company (as determined by your GM), they may suffer a number of strain to use this talent to add an equal number of [AD] to the check. The number may not exceed your character’s ranks in Proper Upbringing.	GCRB	Proper Upbringing	
Quick Draw	1	Active (Incidental)	No	Once per round on your character’s turn, they may use this talent to draw or holster an easily accessible weapon or item as an incidental. Quick Draw also reduces a weapon’s Prepare rating by one, to a minimum of one.	GCRB	Quick Draw	
Quick Strike	1	Passive	Yes	Your character adds [BO] for each rank of Quick Strike to any combat checks they make against any targets that have not yet taken their turn in the current encounter.	GCRB	Quick Strike	
Rapid Reaction	1	Active (Incidental, Out of Turn)	Yes	Your character may suffer a number of strain to use this talent to add an equal number of [SU] to a Vigilance or Cool check they make to determine Initiative order. The number may not exceed your character’s ranks in Rapid Reaction.	GCRB	Rapid Reaction	
Rapid Recovery	1	Passive	Yes	When healing strain after an encounter, heal 1 additional strain per rank of Rapid Recovery.	ABGR, ACRB, ECRB, FBGR, FCRB	Rapid Recovery	
Redundant Systems	1	Active (Action)	No	Once per session, may take a Redundant Systems action; make an Easy (◆) Mechanics check to harvest components from a functioning device to repair a broken one without breaking the first device.	ACRB, ECRB	Redundant Systems	
Reflect	1	Active (Incidental, Out of Turn)	Yes	When your character suffers a hit from a Ranged combat check, after damage is calculated but before soak is applied, your character may suffer 3 strain to use this talent to reduce the damage of the hit by two plus their ranks in Reflect. This talent can only be used once per hit, and your character needs to be wielding a Shield deemed appropriate by the GM.	FBGR, FCRB	Reflect	
Second Wind	1	Active (Incidental)	Yes	Once per encounter, your character may use this talent to heal an amount of strain equal to their ranks in Second Wind.	GCRB	Second Wind	
Shapeshifter	1	Passive	No	When your character is incapacitated due to having exceeded their strain threshold while in their normal form, they undergo the following change as an out-of-turn incidental: they heal all strain, increase their Brawn and Agility by one to a maximum of 5 and reduce their Intellect and Willpower by one to a minimum of 1. They deal +1 damage when making unarmed attacks and their unarmed attacks have a Critical rating of 3, but they cannot use magic skills or make ranged attacks. Your GM should ensure that NPCs react appropriately to this (at the very least, upgrading the difficulty of social skill checks twice). Your character reverts to their normal form after eight hours or if they become incapacitated (for instance, by exceeding their wound or strain threshold).	ROT	Shapeshifter	
Shield Slam	1	Active (Incidental)	No	When your character uses a shield to attack a minion or rival, you may spend [AD][AD][AD][AD] or [TR] to stagger the target until the end of the target's next turn.	ROT	Shield Slam	
Signature Vehicle	1	Passive	Yes	Choose one starship or vehicle with a silhouette of 3 or lower that your character owns. This vehicle is your character's "Signature Vehicle." Upgrade the ability of all Mechanics checks made to work on the vehicle once. If the vehicle ever lost or destroyed, the character may apply Signature Vehicle to a new vehicle that meets the requirements. 	SOT, SM	Signature Vehicle	
Smooth Talker	1	Active (Incidental)	Yes	When first acquired choose 1 skill; Charm, Coercion, Deception, or Negotiation. When making checks with that skill spend [TR] to gain additional [SU] equal to ranks in Smooth Talker.	ACRB, ECRB, FCRB	Smooth Talker	
Solid Repairs	1	Passive	Yes	The character repairs +1 hull trauma per rank of Solid Repairs whenever he repairs a starship or vehicle.	ABGR, ACRB, ECRB, FCRB	Solid Repairs	
Soothing Tone	1	Active (Action)	No	Once per encounter, take a Soothing Tone action; make an Average (◆◆) Knowledge check to allow a beast to recover strain equal to [SU].	SOT, SS	Soothing Tone	
Surgeon	1	Passive	Yes	When your character makes a Medicine check to heal wounds, the target heals one additional wound per rank of Surgeon.	GCRB	Surgeon	
Swift	1	Passive	No	Your character does not suffer the penalties for moving through difficult terrain (they move through difficult terrain at normal speed without spending additional maneuvers).	GCRB	Swift	
Tavern Brawler	1	Passive	No	Your character adds [AD] to Brawl checks and combat checks using improvised weapons.	ROT	Tavern Brawler	
Templar	1	Passive	No	Divine is now a career skill for your character. They can only cast one spell using this skill per encounter.	ROT	Templar	
Toughened	1	Passive	Yes	Each rank of Toughened increases your character’s wound threshold by two.	GCRB	Toughened	
Tumble	1	Active (Incidental)	No	Once per round on your character's turn, they may suffer 2 strain to disengage from all engaged adversaries.	ROT	Tumble	
Unremarkable	1	Passive	No	Other characters add [FA] to any checks made to find or identify your character in a crowd.	GCRB	Unremarkable	
Wheel and Deal	1	Passive	Yes	When selling good legally, gain 10% more currency per rank of Wheel and Deal.	ACRB, ECRB	Wheel and Deal	
Adventurer	2	Passive	No	Athletics and Knowledge (Adventuring) are now career skills for your character.	ROT	Adventurer	
Animal Expertise	2	Passive	Yes	Add [BO] per rank of Hunter to all checks when interacting with beast or animals (including combat checks). Add +10 to Critical Injury results against beasts or animals per rank of Hunter.	ECRB, FCRB	Hunter	
Bard	2	Passive	No	Knowledge (Lore) and Verse are now career skills for your character.	ROT	Bard	
Barrage	2	Passive	Yes	Add 1 damage per rank of Barrage to 1 hit of successful attack while using Ranged (Heavy) or Gunnery skills at long or extreme range.	ABGR, FIB, EBGR, ECRB	Barrage	
Basic Military Training	2	Passive	No	Athletics, Ranged (Heavy), and Resilience are now career skills for your character.	GCRB	Basic Military Training	
Beast Wrangler	2	Passive	Yes	Add [BO] per rank of Beast Wrangler to checks to tame or wrangle creatures.	SOT	Beast Wrangler	
Berserk	2	Active (Maneuver)	No	Once per encounter, your character may use this talent. Until the end of the encounter or until they are incapacitated, your character adds [SU][AD][AD] to all melee combat checks they make. However, opponents add [SU] to all combat checks targeting your character. While berserk, your character cannot make ranged combat checks. At the end of the encounter (or when they are incapacitated), your character suffers 6 strain.	GCRB	Berserk	
Blackmail	2	Active (Incidental, Out of Turn)	No	When an NPC exceeds his strain threshold, may spend 1 Story Point to convince that NPC to perform a single task of choice instead.	DA	Blackmail	
Block	2	Active (Incidental, Out of Turn)	No	Your character must have purchased the Parry talent to benefit from this talent. While wielding a shield, your character may use the Parry talent to reduce damage from ranged attacks as well as melee attacks targeting your character.	ROT	Block	
Blood Sacrifice	2	Active (Incidental)	Yes	Your character must have purchased the Dark Insight talent to benefit from this talent. Before your character makes a magic skill check, they may suffer a number of wounds to use this talent to add an equal number of [SU] to the check. The number cannot exceed your character’s ranks in Blood Sacrifice.	ROT	Blood Sacrifice	
Blooded	2	Passive	Yes	Add [BO] per rank of Blooded to all checks to resist or recover from poisons, venoms, or toxins. Reduce duration of ongoing poisons by 1 round per rank of Blooded to a minimum of 1.	ACRB, ECRB	Blooded	
Bulwark	2	Active (Incidental, Out of Turn)	No	Your character must have purchased the Parry talent to benefit from this talent. While wielding a weapon with the Defensive quality, your character may use Parry to reduce the damage of an attack targeting an engaged ally.	ROT	Bulwark	
Burly	2	Passive	Yes	Reduce any wielded weapon's Cumbersome quality and Encumbrance rating by a number equal to ranks in Burly to a minimum of 1.	FIB, DC	Burly	
Chill of Nordros	2	Active (Incidental)	No	Your character cannot take this talent if they have taken the Flames of Kellos talent. When casting an Attack spell, your character may add the Ice effect without increasing the difficulty. Your character can never add the Fire effect.	ROT	Chill of Nordros	
Command	2	Passive	Yes	Add [BO] per rank of Command when making Leadership checks. Affected targets add [BO] to Discipline checks for next 24 hours.	ACRB, ECRB, FCRB	Command	
Confidence	2	Passive	Yes	May decrease difficulty of Discipline checks to avoid fear by 1 per rank of Confidence, to a minimum of Easy (◆).	ACRB, ECRB, FCRB	Confidence	
Coordinated Assault	2	Active (Maneuver)	Yes	Once per turn, your character may use this talent to have a number of allies engaged with your character equal to your ranks in Leadership add [AD] to all combat checks they make until the end of your character’s next turn. The range of this talent increases by one band per rank of Coordinated Assault beyond the first.	GCRB	Coordinated Assault	
Counteroffer	2	Active (Action)	No	Once per session, your character may use this talent to choose one non-nemesis adversary within medium range and make an opposed Negotiation versus Discipline check. If successful, the target becomes staggered until the end of their next turn. At your GM’s discretion, you may spend [TR] on this check to have the adversary become an ally until the end of the encounter. However, the duration of this may be shortened or extended depending on whether your GM feels your offer is appealing to the adversary and whether your character follows through on their offer!	GCRB	Counteroffer	
Cutting Question	2	Active (Incidental)	No	Once per encounter, when making a Coercion skill check, the character may use Deception skill instead.	DA	Cutting Question	
Daring Aviator	2	Active (Incidental)	Yes	Before your character makes a Driving or Piloting check, they may add a number of [TH] to the results to use this talent to add an equal number of [SU]. The number may not exceed your character’s ranks in Daring Aviator.	GCRB	Daring Aviator	
Debilitating Shot	2	Active (Incidental)	No	Upon successful attack with a starship or vehicle weapon, may spend [AD][AD] to reduce the maximum speed of the target by 1 until the end of the next round.	ACRB, ND	Debilitating Shot	
Deceptive Taunt	2	Active (Action)	No	Once per session, may make Deceptive Taunt action. Make opposed Deception check. If successful, one adversary must attack the character during adversary's next turn.	FH	Deceptive Taunt	
Defensive Stance	2	Active (Maneuver)	Yes	Once per round, your character may suffer a number of strain no greater than their ranks in Defensive Stance to use this talent. Then, until the end of your character’s next turn, upgrade the difficulty of all melee combat checks targeting your character a number of times equal to the strain suffered.	GCRB	Defensive Stance	
Defensive Sysops (Improved)	2	Active (Incidental)	No	Your character must have purchased the Defensive Sysops talent to benefit from this talent. Before adding [SE][SE] from Defensive Sysops to a check, use this talent to add [FA][TH] to the results of the check instead.	GCRB	Defensive Sysops (Improved)	
Dirty Tricks	2	Active (Incidental)	No	After your character inflicts a Critical Injury on an adversary, they may use this talent to upgrade the difficulty of that adversary’s next check.	ROT	Dirty Tricks	
Disorient	2	Passive	Yes	After hitting with combat check, may spend [AD][AD] to disorient target for number of rounds equal to ranks in Disorient.	ACRB, ECRB	Disorient	
Distracting Behavior	2	Active (Maneuver)	Yes	Make a Distracting Behavior maneuver and suffer strain no greater than ranks in Cunning. Until the beginning of next turn, equal number of engaged NPC's suffer [TH] on checks. Range increases with additional ranks.	FH	Distracting Behavior	
Dominion of the Dimora	2	Active (Incidental)	No	Your character cannot take this talent if they have taken the Favor of the Fae talent. When casting an Attack spell, your character may add the Impact effect without increasing the difficulty. Your character can never add the Manipulative effect.	ROT	Dominion of the Dimora	
Dual Wielder	2	Active (Maneuver)	No	Your character may use this talent to decrease the difficulty of the next combined combat check (see Two- Weapon Combat, on page 108) they make during the same turn by one.	GCRB	Dual Wielder	
Dynamic Fire	2	Active (Incidental)	No	When making a ranged attack while engaged with an opponent, may suffer 2 strain to reduce the ranged modifier by 1.	ACRB	Dynamic Fire	
Encouraging Song	2	Active (Action)	No	While equipped with a musical instrument, your character may use this talent to make an Average (◆◆) Charm or Verse check. For each [SU] the check generates, one ally within medium range adds [BO] to their next skill check. For each [AD], one ally benefiting from Encouraging Song heals 1 strain.	ROT	Encouraging Song	
Exploit	2	Active (Incidental)	Yes	When your character makes a combat check with a Ranged or Melee (Light) weapon, they may suffer 2 strain to use this talent to add the Ensnare quality to the attack. The rating of the Ensnare quality is equal to your character’s ranks in Exploit.	ROT	Exploit	
Fan the Hammer	2	Active (Incidental)	No	Once per encounter before making a combat check with a pistol (your GM has the final say on whether a weapon is a pistol or not), your character may use this talent to add the Auto-fire quality to the pistol when resolving the check. If your character does, the weapon runs out of ammo exactly as with an Out of Ammo result (see page 104).	GCRB	Fan the Hammer	
Fancy Paint Job	2	Passive	No	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Upgrade all Charm, Deception, and Negotiation checks made in the presence of Signature Vehicle once.	SOT, SM	Fancy Paint Job	
Favor of the Fae	2	Active (Incidental)	No	Your character cannot take this talent if they have taken the Dominion of the Dimora talent. When casting an Attack spell, your character may add the Manipulative effect without increasing the difficulty. Your character can never add the Impact effect.	ROT	Favor of the Fae	
Fearsome	2	Passive	Yes	When an adversary becomes engaged with the character, the character may force the adversary to make a fear check, with the difficulty equal to the character's ranks in Fearsome.	DC, FCRB	Fearsome	
Fine Tuning	2	Passive	Yes	When reducing the amount of system strain a starship or vehicle suffers, reduce 1 additional strain per rank of Fine Tuning.	ACRB, ECRB, FCRB	Fine Tuning	
Flames of Kellos	2	Active (Incidental)	No	Your character cannot take this talent if they have taken the Chill of Nordros talent. When casting an Attack spell, your character may add the Fire effect without increasing the difficulty. Your character can never add the Ice effect.	ROT	Flames of Kellos	
Flash of Insight	2	Passive	No	When your character generates [TR] on a knowledge skill check, roll [BO][BO] and add the results to the check, in addition to spending the [TR] as usual.	ROT	Flash of Insight	
Freerunning	2	Active (Incidental)	No	Suffer 1 strain when making a Move maneuver to move to any location within short range.	EV	Freerunning	
Go Without	2	Active (Incidental)	No	Once per session, count as having the right tools for the job when performing the next skill check this turn.	DOH	Go Without	
Grapple	2	Active (Incidental)	No	Your character may suffer 2 strain to use this talent. Until the start of your character's next turn, enemies must spend two maneuvers to disengage from your character.	ROT	Grapple	
Hard Headed	2	Active (Action)	Yes	When staggered or disoriented, perform the Hard Headed action; make a Daunting (◆◆◆◆) Discipline check to remove status. Difficulty reduced per rank of Hard Headed.	ACRB, ECRB	Hard Headed	
Heightened Awareness	2	Passive	No	Allies within short range of your character add [BO] to their Perception and Vigilance checks. Allies engaged with your character add [BO][BO] instead.	GCRB	Heightened Awareness	
Heroic Recovery	2	Active (Incidental)	No	When your character acquires this talent, choose one characteristic. Once per encounter, you may spend one Story Point to use this talent to have your character heal strain equal to the rating of the chosen characteristic.	ROT	Heroic Recovery	
Hold Together	2	Active (Incidental, Out of Turn)	No	Spend 1 Story Point to perform a Hold Together incidental immediately after vehicle or starship takes damage to turn it into system strain.	ACRB, ECRB	Hold Together	
Hunter	2	Passive	No	Knowledge (Geography), Ranged, and Survival are now career skills for your character.	ROT	Hunter	
Hunter's Quarry	2	Active (Action)	No	Take Hunter's Quarry action, make a Hard (◆◆◆) Survival check to upgrade the ability of all attacks made against a target within long range until the end of the character's next turn.	ETU, SS	Hunter's Quarry	
Impaling Strike	2	Active (Incidental)	No	When your character inflicts a Critical Injury with a melee weapon, until the end of the target's next turn they may use this talent to immobilize the target (in addition to the other effects of the Critical Injury).	ROT	Impaling Strike	
Improvised Defenses	2	Active (Action)	No	Your character may attempt an Average (◆◆) Survival check to fashion small defenses using scavenged materials. If the check is successful, the structure can provide cover for up to 4 characters for the rest of the encounter. Your character may spend [AD][AD]or [TR] from the check to increase the ranged defense the structure provides to 2.	FO	Improvised Defenses	
Inspiring Rhetoric	2	Active (Action)	No	Your character may use this talent to make an Average (◆◆) Leadership check. For each [SU] the check generates, one ally within short range heals one strain. For each [AD], one ally benefiting from Inspiring Rhetoric heals one additional strain.	GCRB	Inspiring Rhetoric	
Inventor	2	Active (Incidental)	Yes	When your character makes a check to construct new items or modify existing ones, use this talent to add a number of [BO] to the check equal to ranks of Inventor. In addition, your character may attempt to reconstruct devices that they have heard described but have not seen and do not have any kinds of plans or schematics for.	GCRB	Inventor	
Knockdown	2	Passive	No	After hitting with a melee attack, may spend a [TR] to knock the target prone.	ABGR, ACRB, EBGR, ECRB	Knockdown	
Know the Enemy	2	Passive	No	May use an appropriate Knowledge skill when making checks to determine initiative.	DOR	Know the Enemy	
Know-It-All	2	Active (Incidental)	No	Once per session, perfectly recall an important fact previously learned as if a Story Point had been spent.	DA	Know-It-All	
Known Schematic	2	Active (Maneuver)	No	Once per session, may perform the Known Schematic maneuver; make a Hard (◆◆◆) Knowledge check. Success grants familiarity with a building or ship's design.	ACRB, ECRB	Known Schematic	
Knows the Ropes	2	Passive	No	Add [BO] to checks made to escape from restraints equal to ranks in Skullduggery. Spend [TR] to free all other allies within short range.	DOR	Knows the Ropes	
Loom	2	Passive	No	When an ally engaged with the character makes a successful Charm, Deception, or Negotiation check, the character adds [AD] per rank in Coercion to the ally's check.	DC	Loom	
Lucky Strike	2	Active (Incidental)	No	When your character purchases this talent, choose one characteristic. After your character makes a successful combat check, you may spend one Story Point to use this talent to add damage equal to your character’s ranks in that characteristic to one hit of the combat check.	GCRB	Lucky Strike	
Multiple Opponents	2	Passive	No	Your character adds [BO] to his Brawl and Melee combat checks when engaged with multiple opponents. This includes single groups of multiple minions.	FCRB	Multiple Opponents	
Mystic Theurge	2	Passive	No	When purchasing this talent, choose one magic skill.  That skill becomes a career skill but your character may only use it for one check per encounter.	GHC	Templar	
Natural Communion	2	Passive	No	When your character uses the Conjure magic action, the spell gains the Summon Ally effect without increasing the difficulty. All creatures your character summons must be naturally occurring animals native to the area	ROT	Natural Communion	
Overstocked Ammo	2	Passive	Yes	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Increase the value of the Limited Ammo quality of any weapons mounted on Signature Vehicle by 1 per rank of Overstocked Ammo.	SOT	Overstocked Ammo	
Physical Training	2	Passive	Yes	Add [BO] per rank of Physical Training to Athletics and Resilience checks.	ACRB, DOH	Physical Training	
Pride and Joy	2	Passive	No	Choose one vehicle your character owns with a silhouette of 4 or greater; it becomes their "Pride and Joy" vehicle. Upgrade the ability of all social checks your character makes while within short range of the vehicle once.	DOR	Pride and Joy	
Quick Draw (Improved)	2	Passive	No	Your character must have purchased the Quick Draw Talent to benefit from this talent. May use Quick Draw twice per round. This also allows you to reduce the prepare rating by 2 to a minimum of one.	FC	Quick Draw (Improved)	
Reckless Charge	2	Active (Incidental)	No	After using a maneuver to move engage an adversary, your character may suffer 2 strain to use this talent. They then add [SU][SU][TH][TH] to the results of the next Brawl, Melee (Light), or Melee (Heavy) combat check they make this turn.	ROT	Reckless Charge	
Reconstruct the Scene	2	Active (Action)	No	Perform the Reconstruct the Scene action; make a Hard (◆◆◆) Perception check to identify the physical characteristics of person present at the scene within 24 hours.	ND, EV	Reconstruct the Scene	
Researcher	2	Passive	Yes	On a successful Knowledge check, character and allies gain automatic [AD] per rank of Researcher on checks to act on those facts until the end of his next turn.	DA, LBE	Researcher (Improved)	
Resist Disarm	2	Active (Incidental, Out of Turn)	No	Suffer 2 strain to avoid being disarmed or have weapon damaged or destroyed.	FCRB	Resist Disarm	
Runic Lore	2	Passive	No	Knowledge (Lore) and Runes are now career skills for your character	ROT	Runic Lore	
Scathing Tirade	2	Active (Action)	No	Your character may use this talent to make an Average (◆◆) Coercion check. For each [SU] the check generates, one enemy within short range suffers 1 strain. For each [AD], one enemy affected by Scathing Tirade suffers 1 additional strain.	GCRB	Scathing Tirade	
Selective Detonation	2	Active (Incidental)	Yes	When using a weapon with the Blast quality spend [AD] to exclude 1 target that would be affected by the explosion, up to ranks in Selective Detonation.	ACRB, DC	Selective Detonation	
Sense Emotions	2	Passive	No	Add [BO] to all Charm, Coercion, and Deception checks.	ECRB, FBGR, FCRB	Sense Emotions	
Shapeshifter (Improved)	2	Active (Incidental)	No	Once per session, your character may make a Hard (◆◆◆) Discipline check as an out-of-turn incidental either to trigger Shapeshifter or to avoid triggering it when they exceed their strain threshold.	ROT	Shapeshifter (Improved)	
Shortcut	2	Passive	Yes	During a chase, add [BO] per rank in Shortcut to any checks made to catch or escape an opponent.	ACRB, ECRB, EV, SS	Shortcut	
Side Step	2	Active (Maneuver)	Yes	Once per round, your character may suffer a number of strain no greater than their ranks in Side Step to use this talent. Until the end of your character’s next turn, upgrade the difficulty of all ranged combat checks targeting your character a number of times equal to the strain suffered.	GCRB	Side Step	
Signature Spell	2	Passive	No	When your character gains this talent, decide on a signature spell for them, consisting of a particular magic action and a specific set of one or more effects. When your character casts their signature spell (consisting of the exact combination of action and effects previously chosen), reduce the difficulty of the check by one.	ROT	Signature Spell	
Speaks Binary	2	Passive	Yes	When directing non-sentient NPC artificial life forms, may grant them [BO] per rank of Speaks Binary on checks.	ABGR, ACRB, ECRB	Speaks Binary	
Stalker	2	Passive	Yes	Add [BO] per rank of Stalker to all Stealth and Coordination checks.	ABGR, ACRB, ECRB	Stalker	
Strong Arm	2	Passive	No	Treat thrown weapons as if they had 1 greater range.	ACRB, EBGR, ECRB	Strong Arm	
Stunning Blow	2	Active (Incidental)	No	While making Melee checks, may inflict damage as strain instead of wounds. This does not ignore soak.	ACRB, ECRB	Stunning Blow	
Suppressing Fire	2	Passive	Yes	The character and each ally within short range may spend [AD] on their failed combat checks to inflict one strain on the target per rank of Suppressing Fire. Each character can only activate this effect once per round.	FIB, KTP	Suppressing Fire	
Technical Aptitude	2	Passive	No	When making a Computer skill check may spend [AD][AD] or [TR] to reduce the time spent to complete the task by 50%	ACRB, ECRB, FCRB	Technical Aptitude	
Templar (Improved )	2	Passive	No	Your character must have purchased the Templar talent to benefit from this talent. When your character casts the single Divine spell per encounter granted by the Templar talent, they do not add [SE] for wearing heavy armor (armor with +2 soak or higher), using a shield, or not having at least one hand free (see Table III.2–3: Penalties When Casting Spells, on page 210 of the Genesys Core Rulebook).	ROT	Templar (Improved )	
