Name	Tier	Activation	Ranked	Text	Source	From	
Durable	Tier: 1	Activation: Passive	Ranked: Yes	Your character reduces any Critical Injury result they suffer by 10 per rank of Durable, to a minimum of 01.	Source: GCRB	Durable	
Extra Ammo	Tier: 1	Activation: Passive	Ranked: No	Cannot run out of ammo due to a [DE]. Items with Limited Ammo quality run out of ammo as normal.	Sources: ACRB, ECRB	Spare Clip	
Familiar Sky	Tier: 1	Activation: Active (Maneuver)	Ranked: No	Once per session, may perform a Familiar Sky maneuver; make a Hard (◆◆◆) Knowledge check to reveal the current type of environment and other useful information.	Sources: ACRB, ECRB	Familiar Suns	
Forager	Tier: 1	Activation: Passive	Ranked: No	Your character removes up to [SE][SE] from any skill checks they make to find food, water, or shelter. Checks to forage or search the area that your character makes take half the time they would normally.	Source: GCRB	Forager	
Good Cop	Tier: 1	Activation: Passive	Ranked: Yes	May spend [AD][AD] from a Charm or Negotiation check to upgrade ability of a single ally's subsequent Social Interaction check against the target a number of times equal to ranks in Good Cop.	Sources: JOY, FH, ND	Good Cop	
Grit	Tier: 1	Activation: Passive	Ranked: Yes	Each rank of Grit increases your character’s strain threshold by one.	Source: GCRB	Grit	
Hamstring Shot	Tier: 1	Activation: Active (Action)	Ranked: No	Once per round, your character may use this talent to perform a ranged combat check against one non-vehicle target within range of the weapon used. If the check is successful, halve the damage inflicted by the attack (before reducing damage by the target’s soak). The target is immobilized until the end of its next turn.	Source: GCRB	Hamstring Shot	
Hidden Storage	Tier: 1	Activation: Passive	Ranked: Yes	Gain hidden storage in vehicles or equipment that holds items with total encumbrance equal to ranks in Hidden Storage.	Sources: ACRB, EBGR, ECRB	Hidden Storage	
Jump Up	Tier: 1	Activation: Active (Incidental)	Ranked: No	Once per round during your character’s turn, your character may use this talent to stand from a prone or seated position as an incidental.	Source: GCRB	Jump Up	
Knack for It	Tier: 1	Activation: Passive	Ranked: Yes	When you purchase this talent for your character, select one skill. Your character removes [SE][SE] from any checks they make using this skill. Each additional time you purchase this talent for your character, select two additional skills. Your character also removes [SE][SE] from any checks they make using these skills. You cannot select combat or magic skills when choosing skills for this talent.	Source: GCRB	Knack for It	
Know Somebody	Tier: 1	Activation: Active (Incidental)	Ranked: Yes	Once per session, when attempting to purchase a legally available item, your character may use this talent to reduce its rarity by one per rank of Know Somebody.	Source: GCRB	Know Somebody	
Knowledge Specialization	Tier: 1	Activation: Passive	Ranked: Yes	When acquired, choose 1 Knowledge skill. When making that skill check, may spend a [TR] result to gain additional [SU] equal to ranks in Knowledge Specialization.	Sources: ACRB, ECRB, FCRB	Knowledge Specialization	
Let’s Ride	Tier: 1	Activation: Active (Incidental)	Ranked: No	Once per round during your character's turn, your character can use this talent to mount or dismount from a vehicle or animal, or move from one position in a vehicle to another (such as from the cockpit to a gun turret) as an incidental. In addition, if your character suffers a short-range fall (see page 112) from a vehicle or animal, they suffer no damage and land on their feet.	Source: GCRB	Let’s Ride	
Medical Specialist	Tier: 1	Activation: Passive	Ranked: Yes	Patients recover 1 additional wound per rank of Medical Specialist when they recover wounds from long term care.	Sources: ACRB, ECRB	Bacta Specialist	
Museum Worthy	Tier: 1	Activation: Active (Action)	Ranked: No	Once per session, take Museum Worthy action, make a Hard (◆◆◆) Knowledge check to ascertain information regarding a relic, ruin, or piece of history.	Source: ETU	Museum Worthy	
One with Nature	Tier: 1	Activation: Active (Incidental)	Ranked: No	When in the wilderness, your character may make a Simple (–) Survival check, instead of Discipline or Cool, to recover strain at the end of an encounter (see page 117).	Source: GCRB	One with Nature	
Parry	Tier: 1	Activation: Active (Incidental, Out of Turn)	Ranked: Yes	When your character suffers a hit from a melee combat check, after damage is calculated but before soak is applied (so immediately after Step 3 of Perform a Combat check, page 102), your character may suffer 3 strain to use this talent to reduce the damage of the hit by two plus their ranks in Parry. This talent can only be used once per hit, and your character needs to be wielding a Melee weapon.	Source: GCRB	Parry	
Physician	Tier: 1	Activation: Passive	Ranked: Yes	When making a Medicine check to help a character heal wounds, the target heals 1 additional strain per rank of Physician.	Source: FCRB	Physician	
Proper Upbringing	Tier: 1	Activation: Active (Incidental)	Ranked: Yes	When your character makes a social skill check in polite company (as determined by your GM), they may suffer a number of strain to use this talent to add an equal number of [AD] to the check. The number may not exceed your character’s ranks in Proper Upbringing.	Source: GCRB	Proper Upbringing	
Quick Draw	Tier: 1	Activation: Active (Incidental)	Ranked: No	Once per round on your character’s turn, they may use this talent to draw or holster an easily accessible weapon or item as an incidental. Quick Draw also reduces a weapon’s Prepare rating by one, to a minimum of one.	Source: GCRB	Quick Draw	
Quick Strike	Tier: 1	Activation: Passive	Ranked: Yes	Your character adds [BO] for each rank of Quick Strike to any combat checks they make against any targets that have not yet taken their turn in the current encounter.	Source: GCRB	Quick Strike	
Rapid Reaction	Tier: 1	Activation: Active (Incidental, Out of Turn)	Ranked: Yes	Your character may suffer a number of strain to use this talent to add an equal number of [SU] to a Vigilance or Cool check they make to determine Initiative order. The number may not exceed your character’s ranks in Rapid Reaction.	Source: GCRB	Rapid Reaction	
Rapid Recovery	Tier: 1	Activation: Passive	Ranked: Yes	When healing strain after an encounter, heal 1 additional strain per rank of Rapid Recovery.	Sources: ABGR, ACRB, ECRB, FBGR, FCRB	Rapid Recovery	
Redundant Systems	Tier: 1	Activation: Active (Action)	Ranked: No	Once per session, may take a Redundant Systems action; make an Easy (◆) Mechanics check to harvest components from a functioning device to repair a broken one without breaking the first device.	Sources: ACRB, ECRB	Redundant Systems	
Reflect	Tier: 1	Activation: Active (Incidental, Out of Turn)	Ranked: Yes	When your character suffers a hit from a Ranged combat check, after damage is calculated but before soak is applied, your character may suffer 3 strain to use this talent to reduce the damage of the hit by two plus their ranks in Reflect. This talent can only be used once per hit, and your character needs to be wielding a Shield deemed appropriate by the GM.	Sources: FBGR, FCRB	Reflect	
Second Wind	Tier: 1	Activation: Active (Incidental)	Ranked: Yes	Once per encounter, your character may use this talent to heal an amount of strain equal to their ranks in Second Wind.	Source: GCRB	Second Wind	
Signature Vehicle	Tier: 1	Activation: Passive	Ranked: Yes	Choose one starship or vehicle with a silhouette of 3 or lower that your character owns. This vehicle is your character's "Signature Vehicle." Upgrade the ability of all Mechanics checks made to work on the vehicle once. If the vehicle ever lost or destroyed, the character may apply Signature Vehicle to a new vehicle that meets the requirements. 	Sources: SOT, SM	Signature Vehicle	
Smooth Talker	Tier: 1	Activation: Active (Incidental)	Ranked: Yes	When first acquired choose 1 skill; Charm, Coercion, Deception, or Negotiation. When making checks with that skill spend [TR] to gain additional [SU] equal to ranks in Smooth Talker.	Sources: ACRB, ECRB, FCRB	Smooth Talker	
Solid Repairs	Tier: 1	Activation: Passive	Ranked: Yes	The character repairs +1 hull trauma per rank of Solid Repairs whenever he repairs a starship or vehicle.	Sources: ABGR, ACRB, ECRB, FCRB	Solid Repairs	
Soothing Tone	Tier: 1	Activation: Active (Action)	Ranked: No	Once per encounter, take a Soothing Tone action; make an Average (◆◆) Knowledge check to allow a beast to recover strain equal to [SU].	Sources: SOT, SS	Soothing Tone	
Surgeon	Tier: 1	Activation: Passive	Ranked: Yes	When your character makes a Medicine check to heal wounds, the target heals one additional wound per rank of Surgeon.	Source: GCRB	Surgeon	
Swift	Tier: 1	Activation: Passive	Ranked: No	Your character does not suffer the penalties for moving through difficult terrain (they move through difficult terrain at normal speed without spending additional maneuvers).	Source: GCRB	Swift	
Toughened	Tier: 1	Activation: Passive	Ranked: Yes	Each rank of Toughened increases your character’s wound threshold by two.	Source: GCRB	Toughened	
Unremarkable	Tier: 1	Activation: Passive	Ranked: No	Other characters add [FA] to any checks made to find or identify your character in a crowd.	Source: GCRB	Unremarkable	
Wheel and Deal	Tier: 1	Activation: Passive	Ranked: Yes	When selling good legally, gain 10% more currency per rank of Wheel and Deal.	Sources: ACRB, ECRB	Wheel and Deal	
Barrage	Tier: 2	Activation: Passive	Ranked: Yes	Add 1 damage per rank of Barrage to 1 hit of successful attack while using Ranged (Heavy) or Gunnery skills at long or extreme range.	Sources: ABGR, FIB, EBGR, ECRB	Barrage	
Basic Military Training	Tier: 2	Activation: Passive	Ranked: No	Athletics, Ranged (Heavy), and Resilience are now career skills for your character.	Source: GCRB	Basic Military Training	
Beast Wrangler	Tier: 2	Activation: Passive	Ranked: Yes	Add [BO] per rank of Beast Wrangler to checks to tame or wrangle creatures.	Source: SOT	Beast Wrangler	
Berserk	Tier: 2	Activation: Active (Maneuver)	Ranked: No	Once per encounter, your character may use this talent. Until the end of the encounter or until they are incapacitated, your character adds [SU][AD][AD] to all melee combat checks they make. However, opponents add [SU] to all combat checks targeting your character. While berserk, your character cannot make ranged combat checks. At the end of the encounter (or when they are incapacitated), your character suffers 6 strain.	Source: GCRB	Berserk	
Blackmail	Tier: 2	Activation: Active (Incidental, Out of Turn)	Ranked: No	When an NPC exceeds his strain threshold, may spend 1 Story Point to convince that NPC to perform a single task of choice instead.	Source: DA	Blackmail	
Blooded	Tier: 2	Activation: Passive	Ranked: Yes	Add [BO] per rank of Blooded to all checks to resist or recover from poisons, venoms, or toxins. Reduce duration of ongoing poisons by 1 round per rank of Blooded to a minimum of 1.	Sources: ACRB, ECRB	Blooded	
Body Guard	Tier: 2	Activation: Active (Maneuver)	Ranked: Yes	Once per round, perform the Body Guard maneuver to guard an engaged character. Suffer a number of strain no greater than ranks of Body Guard, then until the beginning of the next turn upgrade the difficulty of combat checks targeting the character by that number.	Sources: ACRB, FIB, EBGR, ECRB, FBGR, FCRB	Body Guard	
Burly	Tier: 2	Activation: Passive	Ranked: Yes	Reduce any wielded weapon's Cumbersome quality and Encumbrance rating by a number equal to ranks in Burly to a minimum of 1.	Sources: FIB, DC	Burly	
Command	Tier: 2	Activation: Passive	Ranked: Yes	Add [BO] per rank of Command when making Leadership checks. Affected targets add [BO] to Discipline checks for next 24 hours.	Sources: ACRB, ECRB, FCRB	Command	
Confidence	Tier: 2	Activation: Passive	Ranked: Yes	May decrease difficulty of Discipline checks to avoid fear by 1 per rank of Confidence, to a minimum of Easy (◆).	Sources: ACRB, ECRB, FCRB	Confidence	
Coordinated Assault	Tier: 2	Activation: Active (Maneuver)	Ranked: Yes	Once per turn, your character may use this talent to have a number of allies engaged with your character equal to your ranks in Leadership add [AD] to all combat checks they make until the end of your character’s next turn. The range of this talent increases by one band per rank of Coordinated Assault beyond the first.	Source: GCRB	Coordinated Assault	
Counteroffer	Tier: 2	Activation: Active (Action)	Ranked: No	Once per session, your character may use this talent to choose one non-nemesis adversary within medium range and make an opposed Negotiation versus Discipline check. If successful, the target becomes staggered until the end of their next turn. At your GM’s discretion, you may spend [TR] on this check to have the adversary become an ally until the end of the encounter. However, the duration of this may be shortened or extended depending on whether your GM feels your offer is appealing to the adversary and whether your character follows through on their offer!	Source: GCRB	Counteroffer	
Cutting Question	Tier: 2	Activation: Active (Incidental)	Ranked: No	Once per encounter, when making a Coercion skill check, the character may use Deception skill instead.	Source: DA	Cutting Question	
Daring Aviator	Tier: 2	Activation: Active (Incidental)	Ranked: Yes	Before your character makes a Driving or Piloting check, they may add a number of [TH] to the results to use this talent to add an equal number of [SU]. The number may not exceed your character’s ranks in Daring Aviator.	Source: GCRB	Daring Aviator	
Debilitating Shot	Tier: 2	Activation: Active (Incidental)	Ranked: No	Upon successful attack with a starship or vehicle weapon, may spend [AD][AD] to reduce the maximum speed of the target by 1 until the end of the next round.	Sources: ACRB, ND	Debilitating Shot	
Deceptive Taunt	Tier: 2	Activation: Active (Action)	Ranked: No	Once per session, may make Deceptive Taunt action. Make opposed Deception check. If successful, one adversary must attack the character during adversary's next turn.	Source: FH	Deceptive Taunt	
Defensive Stance	Tier: 2	Activation: Active (Maneuver)	Ranked: Yes	Once per round, your character may suffer a number of strain no greater than their ranks in Defensive Stance to use this talent. Then, until the end of your character’s next turn, upgrade the difficulty of all melee combat checks targeting your character a number of times equal to the strain suffered.	Source: GCRB	Defensive Stance	
Defensive Sysops (Improved)	Tier: 2	Activation: Active (Incidental)	Ranked: No	Your character must have purchased the Defensive Sysops talent to benefit from this talent. Before adding [SE][SE] from Defensive Sysops to a check, use this talent to add [FA][TH] to the results of the check instead.	Source: GCRB	Defensive Sysops (Improved)	Defensive Sysops
Disorient	Tier: 2	Activation: Passive	Ranked: Yes	After hitting with combat check, may spend [AD][AD] to disorient target for number of rounds equal to ranks in Disorient.	Sources: ACRB, ECRB	Disorient	
Distracting Behavior	Tier: 2	Activation: Active (Maneuver)	Ranked: Yes	Make a Distracting Behavior maneuver and suffer strain no greater than ranks in Cunning. Until the beginning of next turn, equal number of NPC's suffer [TH] on checks. Range increases with additional ranks.	Source: FH	Distracting Behavior	
Dual Wielder	Tier: 2	Activation: Active (Maneuver)	Ranked: No	Your character may use this talent to decrease the difficulty of the next combined combat check (see Two- Weapon Combat, on page 108) they make during the same turn by one.	Source: GCRB	Dual Wielder	
Dynamic Fire	Tier: 2	Activation: Active (Incidental)	Ranked: No	When making a ranged attack while engaged with an opponent, may suffer 2 strain to reduce the ranged modifier by 1.	Source: ACRB	Dynamic Fire	
Fan the Hammer	Tier: 2	Activation: Active (Incidental)	Ranked: No	Once per encounter before making a combat check with a pistol (your GM has the final say on whether a weapon is a pistol or not), your character may use this talent to add the Auto-fire quality to the pistol when resolving the check. If your character does, the weapon runs out of ammo exactly as with an Out of Ammo result (see page 104).	Source: GCRB	Fan the Hammer	
Fancy Paint Job	Tier: 2	Activation: Passive	Ranked: No	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Upgrade all Charm, Deception, and Negotiation checks made in the presence of Signature Vehicle once.	Sources: SOT, SM	Fancy Paint Job	Signature Vehicle
Fearsome	Tier: 2	Activation: Passive	Ranked: Yes	When an adversary becomes engaged with the character, the character may force the adversary to make a fear check, with the difficulty equal to the character's ranks in Fearsome.	Sources: DC, FCRB	Fearsome	
Fine Tuning	Tier: 2	Activation: Passive	Ranked: Yes	When reducing the amount of system strain a starship or vehicle suffers, reduce 1 additional strain per rank of Fine Tuning.	Sources: ACRB, ECRB, FCRB	Fine Tuning	
Finesse	Tier: 2	Activation: Passive	Ranked: 	The character may use Agility instead of Brawn for Brawl and Melee (Light) checks.	Source: GHC	Finesse	
Freerunning	Tier: 2	Activation: Active (Incidental)	Ranked: No	Suffer 1 strain when making a Move maneuver to move to any location within short range.	Source: EV	Freerunning	
Go Without	Tier: 2	Activation: Active (Incidental)	Ranked: No	Once per session, count as having the right tools for the job when performing the next skill check this turn.	Source: DOH	Go Without	
Grapple	Tier: 2	Activation: Active (Maneuver)	Ranked: No	Once per round, the character may perform the Grapple maneuver. Until the beginning of the character's next turn, enemies must spend two maneuvers instead of one maneuver to move from engaged range to short range of him.	Sources: ND, KTP	Grapple	
Hard Headed	Tier: 2	Activation: Active (Action)	Ranked: Yes	When staggered or disoriented, perform the Hard Headed action; make a Daunting (◆◆◆◆) Discipline check to remove status. Difficulty reduced per rank of Hard Headed.	Sources: ACRB, ECRB	Hard Headed	
Heightened Awareness	Tier: 2	Activation: Passive	Ranked: No	Allies within short range of your character add [BO] to their Perception and Vigilance checks. Allies engaged with your character add [BO][BO] instead.	Source: GCRB	Heightened Awareness	
Hold Together	Tier: 2	Activation: Active (Incidental)	Ranked: No	Spend 1 Story Point to perform a Hold Together incidental immediately after vehicle or starship takes damage to turn it into system strain.	Sources: ACRB, ECRB	Hold Together	
Hunter	Tier: 2	Activation: Passive	Ranked: Yes	Add [BO] per rank of Hunter to all checks when interacting with beast or animals (including combat checks). Add +10 to Critical Injury results against beasts or animals per rank of Hunter.	Sources: ECRB, FCRB	Hunter	
Hunter's Quarry	Tier: 2	Activation: Active (Action)	Ranked: No	Take Hunter's Quarry action, make a Hard (◆◆◆) Survival check to upgrade the ability of all attacks made against a target within long range until the end of the character's next turn.	Sources: ETU, SS	Hunter's Quarry	
Inspiring Rhetoric	Tier: 2	Activation: Active (Action)	Ranked: No	Your character may use this talent to make an Average (◆◆) Leadership check. For each [SU] the check generates, one ally within short range heals one strain. For each [AD], one ally benefiting from Inspiring Rhetoric heals one additional strain.	Source: GCRB	Inspiring Rhetoric	
Inventor	Tier: 2	Activation: Active (Incidental)	Ranked: Yes	When your character makes a check to construct new items or modify existing ones, use this talent to add a number of [BO] to the check equal to ranks of Inventor. In addition, your character may attempt to reconstruct devices that they have heard described but have not seen and do not have any kinds of plans or schematics for.	Source: GCRB	Inventor	
Knockdown	Tier: 2	Activation: Passive	Ranked: No	After hitting with a melee attack, may spend a [TR] to knock the target prone.	Sources: ABGR, ACRB, EBGR, ECRB	Knockdown	
Know-It-All	Tier: 2	Activation: Active (Incidental)	Ranked: No	Once per session, perfectly recall an important fact previously learned as if a Story Point had been spent.	Source: DA	Know-It-All	
Known Schematic	Tier: 2	Activation: Active (Maneuver)	Ranked: No	Once per session, may perform the Known Schematic maneuver; make a Hard (◆◆◆) Knowledge check. Success grants familiarity with a building or ship's design.	Sources: ACRB, ECRB	Known Schematic	
Loom	Tier: 2	Activation: Passive	Ranked: No	When an ally engaged with the character makes a successful Charm, Deception, or Negotiation check, the character adds [AD] per rank in Coercion to the ally's check.	Source: DC	Loom	
Lucky Strike	Tier: 2	Activation: Active (Incidental)	Ranked: No	When your character purchases this talent, choose one characteristic. After your character makes a successful combat check, you may spend one Story Point to use this talent to add damage equal to your character’s ranks in that characteristic to one hit of the combat check.	Source: GCRB	Lucky Strike	
Multiple Opponents	Tier: 2	Activation: Passive	Ranked: No	Your character adds [BO] to his Brawl and Melee combat checks when engaged with multiple opponents. This includes single groups of multiple minions.	Source: FCRB	Multiple Opponents	
Mystic Theurge	Tier: 2	Activation: Passive	Ranked: No	When purchasing this talent, choose one magic skill.  That skill becomes a career skill but your character may only use it for one check per encounter.	Source: GHC	Templar	
Overstocked Ammo	Tier: 2	Activation: Passive	Ranked: Yes	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Increase the value of the Limited Ammo quality of any weapons mounted on Signature Vehicle by 1 per rank of Overstocked Ammo.	Source: SOT	Overstocked Ammo	Signature Vehicle
Physical Training	Tier: 2	Activation: Passive	Ranked: Yes	Add [BO] per rank of Physical Training to Athletics and Resilience checks.	Sources: ACRB, DOH	Physical Training	
Quick Draw (Improved)	Tier: 2	Activation: Passive	Ranked: No	Your character must have purchased the Quick Draw Talent to benefit from this talent. May use Quick Draw twice per round. This also allows you to reduce the prepare rating by 2 to a minimum of one.	Source: FC	Quick Draw (Improved)	Quick Draw
Reconstruct the Scene	Tier: 2	Activation: Active (Action)	Ranked: No	Perform the Reconstruct the Scene action; make a Hard (◆◆◆) Perception check to identify the physical characteristics of person present at the scene within 24 hours.	Sources: ND, EV	Reconstruct the Scene	
Researcher	Tier: 2	Activation: Passive	Ranked: Yes	On a successful Knowledge check, character and allies gain automatic [AD] per rank of Researcher on checks to act on those facts until the end of his next turn.	Sources: DA, LBE	Researcher (Improved)	
Resist Disarm	Tier: 2	Activation: Active (Incidental, Out of Turn)	Ranked: No	Suffer 2 strain to avoid being disarmed or have weapon damaged or destroyed.	Source: FCRB	Resist Disarm	
Scathing Tirade	Tier: 2	Activation: Active (Action)	Ranked: No	Your character may use this talent to make an Average (◆◆) Coercion check. For each [SU] the check generates, one enemy within short range suffers 1 strain. For each [AD], one enemy affected by Scathing Tirade suffers 1 additional strain.	Source: GCRB	Scathing Tirade	
Selective Detonation	Tier: 2	Activation: Active (Incidental)	Ranked: Yes	When using a weapon with the Blast quality spend [AD] to exclude 1 target that would be affected by the explosion, up to ranks in Selective Detonation.	Sources: ACRB, DC	Selective Detonation	
Sense Emotions	Tier: 2	Activation: Passive	Ranked: No	Add [BO] to all Charm, Coercion, and Deception checks.	Sources: ECRB, FBGR, FCRB	Sense Emotions	
Shield Slam	Tier: 2	Activation: Active (Incidental)	Ranked: No	When attacking a minion or rival with a shield, may spend [AD][AD][AD][AD] or a [TR] to stagger the target for 1 round.	Source: GHC	Shield Slam	
Shortcut	Tier: 2	Activation: Passive	Ranked: Yes	During a chase, add [BO] per rank in Shortcut to any checks made to catch or escape an opponent.	Sources: ACRB, ECRB, EV, SS	Shortcut	
Side Step	Tier: 2	Activation: Active (Maneuver)	Ranked: Yes	Once per round, your character may suffer a number of strain no greater than their ranks in Side Step to use this talent. Until the end of your character’s next turn, upgrade the difficulty of all ranged combat checks targeting your character a number of times equal to the strain suffered.	Source: GCRB	Side Step	
Speaks Binary	Tier: 2	Activation: Passive	Ranked: Yes	When directing non-sentient NPC artificial life forms, may grant them [BO] per rank of Speaks Binary on checks.	Sources: ABGR, ACRB, ECRB	Speaks Binary	
Spur	Tier: 2	Activation: Active (Action)	Ranked: No	Take a Spur action; make a Hard (◆◆◆) Riding check to increase a beast's top speed by 1. The beast suffers 2 strain every round it stays spurred.	Source: SOT	Spur	
Stalker	Tier: 2	Activation: Passive	Ranked: Yes	Add [BO] per rank of Stalker to all Stealth and Coordination checks.	Sources: ABGR, ACRB, ECRB	Stalker	
Strong Arm	Tier: 2	Activation: Passive	Ranked: No	Treat thrown weapons as if they had 1 greater range.	Sources: ACRB, EBGR, ECRB	Strong Arm	
Stunning Blow	Tier: 2	Activation: Active (Incidental)	Ranked: No	While making Melee checks, may inflict damage as strain instead of wounds. This does not ignore soak.	Sources: ACRB, ECRB	Stunning Blow	
Suppressing Fire	Tier: 2	Activation: Passive	Ranked: Yes	The character and each ally within short range may spend [AD] on their failed combat checks to inflict one strain on the target per rank of Suppressing Fire. Each character can only activate this effect once per round.	Sources: FIB, KTP	Suppressing Fire	
Technical Aptitude	Tier: 2	Activation: Passive	Ranked: No	When making a Computer skill check may spend [AD][AD] or [TR] to reduce the time spent to complete the task by 50%	Sources: ACRB, ECRB, FCRB	Technical Aptitude	
Time to Go	Tier: 2	Activation: Active (Maneuver)	Ranked: No	The character may spend 1 Story Point to perform a Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion.	Sources: ACRB, DC	Time to Go	
Tinkerer	Tier: 2	Activation: Passive	Ranked: Yes	May add 1 additional hard point to a number of items equal to ranks in Tinkerer. Each item may only be modified once.	Sources: ACRB, ECRB, KTP	Tinkerer	
Touch of Fate	Tier: 2	Activation: Active (Incidental)	Ranked: No	Once per session, add [BO][BO] to any 1 check.	Sources: ACRB, ECRB, FCRB	Touch of Fate	
Unarmed Parry	Tier: 2	Activation: Passive	Ranked: No	May Parry while unarmed. Reduce strain cost to Parry while unarmed by 1 (to a minimum of 1).	Source: ND	Unarmed Parry	
Uncanny Senses	Tier: 2	Activation: Passive	Ranked: No	Add [BO][BO] per rank of Uncanny Senses to all Perception and Vigilance checks.	Sources: ACRB, ECRB, FCRB	Uncanny Senses	
Unstoppable	Tier: 2	Activation: Passive	Ranked: No	If a Critical Injury roll is 1 or reduced to 1, do not receive the critical injury.	Source: ACRB	Unstoppable	
Vehicle Combat Training	Tier: 2	Activation: Passive	Ranked: No	Gunnery, Driving, and Piloting become career skills.	Source: ACRB	Vehicle Combat Training	
Well Read	Tier: 2	Activation: Passive	Ranked: No	Choose any 3 Knowledge skills. They permanently become career skills.	Source: LBE	Well Read	
Well Rounded	Tier: 2	Activation: Passive	Ranked: Yes	Choose any 2 non-magic skills. They permanently become career skills.	Sources: ACRB, EBGR, ECRB, FBGR, FCRB	Well Rounded	
Ambush	Tier: 3	Activation: Active (Maneuver)	Ranked: No	Once per round while benefiting from cover, may make the Ambush maneuver. Add damage equal to Stealth skill to one hit of next successful combat check against a target within short range before the end of the turn.	Source: FIB	Ambush	
Animal Companion	Tier: 3	Activation: Passive	Ranked: Yes	Your character creates a bond with a single animal approved by your GM. This animal must be silhouette 0 (no larger than a mid-sized dog). The bond persists as long as your character chooses, although at your GM’s discretion, the bond may also be broken due to abusive treatment or other extenuating circumstances. As long as the bond persists, the animal follows your character, and you dictate the animal’s overall behavior (although, since the animal is only bonded with the character, not dominated, it may still perform inconvenient actions such as scratching furniture, consuming rations, and marking territory). Once per round in structured encounters, your character may spend one maneuver to direct their animal in performing one action and one maneuver during your character’s turn. The animal must be within hearing and visual range of your character (generally medium range) to do this. Otherwise, the animal does not contribute to the encounter. The specifics of its behavior are up to you and your GM. For every additional rank of Animal Companion your character has, increase the allowed silhouette of the companion by one (this may mean your character gets a new companion, or their companion grows in size). This talent can also change in flavor depending on the nature of your game setting. While an animal companion may make sense in many settings, in a futuristic setting it may make more sense for the “animal” to be a robot or drone, for example.	Source: GCRB	Animal Companion	
Armor Master	Tier: 3	Activation: Passive	Ranked: No	When wearing armor, Increase total soak value by 1.	Sources: ACRB, EBGR, ECRB, KTP	Armor Master	
Bad Press	Tier: 3	Activation: Active (Action)	Ranked: No	Once per session, choose an organization and make a Hard (◆◆◆) Deception check. On success, organization members have their strain thresholds reduced by 1, plus 1 per [SU][SU][SU], until the end of the session. When he does this, the player must explain how the PC disseminated the propaganda such that it has affected his targets. The chosen organization must be narrow and cohesive enough to be affected by bad publicity.	Source: DA	Bad Press	
Barrel Roll	Tier: 3	Activation: Active (Incidental, Out of Turn)	Ranked: No	Your character can only use this talent while piloting a starfighter or airplane of Silhouette 3 or less. When your vehicle suffers a hit from a ranged combat check, after damage is calculated but before armor is applied, your character may have their vehicle suffer 3 system strain to use this talent. Then, reduce the damage suffered by a number equal to their ranks in Piloting.	Source: GCRB	Barrel Roll	
Blind Spot	Tier: 3	Activation: Passive	Ranked: No	Your character, and allies within short range, add automatic [AD] to combat checks they make while benefiting from cover.	Sources: FIB, KTP	Blind Spot	
